Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Alandur,M.HARISH,Tamilaga Vettri Kazhagam,111572,633,112205,42.9,261570,17226030,112205,True
Alandur,T.M.ANBARASAN,Dravida Munnetra Kazhagam,81642,954,82596,31.58,261570,11928996,112205,False
Alandur,S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,51652,591,52243,19.97,261570,10462146,112205,False
Alandur,Y.G.MAHALAKSHMI,Naam Tamilar Katchi,10346,59,10405,3.98,261570,1972520,112205,False
Alandur,NOTA,None of the Above,1252,11,1263,0.48,261570,199800,112205,False
Alandur,M.HARISH,Independent,845,8,853,0.33,261570,524736,112205,False
Alandur,N.HARI KRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,315,2,317,0.12,261570,133479,112205,False
Alandur,J.AGNI SELVARASU,Naadaalum Makkal Katchi,230,3,233,0.09,261570,9715,112205,False
Alandur,SENKODI VIJAYALAKSHMI,Independent,231,2,233,0.09,261570,524736,112205,False
Alandur,R.SURESH,Independent,166,2,168,0.06,261570,524736,112205,False
Alandur,R.SARAVANAN,Independent,148,2,150,0.06,261570,524736,112205,False
Alandur,V.ANBARASAN,Independent,119,1,120,0.05,261570,524736,112205,False
Alandur,MAHESH KUMAR,Independent,103,2,105,0.04,261570,524736,112205,False
Alandur,A.VELUSAMY,Puthiya Tamilagam,92,1,93,0.04,261570,93652,112205,False
Alandur,S.ROYAPPAN,Tamizhaga Vaazhvurimai Katchi,89,0,89,0.03,261570,74809,112205,False
Alandur,A.SARAVANAN,Independent,77,1,78,0.03,261570,524736,112205,False
Alandur,ARAVIND CHANDRASEKAR,Indhu Dravida Makkal Katchi,76,1,77,0.03,261570,2112,112205,False
Alandur,S.SARAVANAN,Independent,64,12,76,0.03,261570,524736,112205,False
Alandur,R.SELVAKUMAR,Independent,69,0,69,0.03,261570,524736,112205,False
Alandur,B. KALYANARAMKUMAR,Naam Indiar Party,59,1,60,0.02,261570,4474,112205,False
Alandur,K.VELAYUDHAM,Independent,50,1,51,0.02,261570,524736,112205,False
Alandur,D.SARAVANAN,Independent,38,12,50,0.02,261570,524736,112205,False
Alandur,G.DANIEL ANTONYRAJ,Independent,19,0,19,0.01,261570,524736,112205,False
Alandur,G.RAMANAN,Independent,17,0,17,0.01,261570,524736,112205,False
Alangudi,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,64162,767,64929,35.98,180483,11928996,64929,True
Alangudi,KANDASAMY,Tamilaga Vettri Kazhagam,51577,375,51952,28.78,180483,17226030,64929,False
Alangudi,DHANA VIMAL,All India Anna Dravida Munnetra Kazhagam,49794,269,50063,27.74,180483,10462146,64929,False
Alangudi,R.RAJARAM,Naam Tamilar Katchi,10531,121,10652,5.9,180483,1972520,64929,False
Alangudi,NOTA,None of the Above,664,9,673,0.37,180483,199800,64929,False
Alangudi,D.PUSHPARAJ,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,603,15,618,0.34,180483,133479,64929,False
Alangudi,R.SURESH,Party for the Rights of Other backward Classes,530,0,530,0.29,180483,4101,64929,False
Alangudi,S MALAIYANDI,Akila Inthiya Makkal Marumalarchi Kazhakam,183,1,184,0.1,180483,425,64929,False
Alangudi,K.MURUGESAN,Independent,174,0,174,0.1,180483,524736,64929,False
Alangudi,SASIKUMAR.P,Independent,155,3,158,0.09,180483,524736,64929,False
Alangudi,B.SELVAM,Independent,131,5,136,0.08,180483,524736,64929,False
Alangudi,S.VANMEGANADHAN,Independent,131,1,132,0.07,180483,524736,64929,False
Alangudi,M.NAGARAJAN,Independent,123,2,125,0.07,180483,524736,64929,False
Alangudi,T.THIRUMARAN,Independent,90,1,91,0.05,180483,524736,64929,False
Alangudi,V.KANNADASSAN,Independent,66,0,66,0.04,180483,524736,64929,False
Alangulam,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,67974,1196,69170,31.32,220857,11928996,69170,True
Alangulam,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,60584,788,61372,27.79,220857,10462146,69170,False
Alangulam,VIBIN CHAKKARAVARTHY,Tamilaga Vettri Kazhagam,60046,638,60684,27.48,220857,17226030,69170,False
Alangulam,R PAULRAJ,Naam Tamilar Katchi,23017,363,23380,10.59,220857,1972520,69170,False
Alangulam,MADASAMY,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,2113,45,2158,0.98,220857,133479,69170,False
Alangulam,A UDHAYAKUMAR,Puthiya Tamilagam,1590,30,1620,0.73,220857,93652,69170,False
Alangulam,NOTA,None of the Above,961,21,982,0.44,220857,199800,69170,False
Alangulam,JEYANTHI,Independent,426,6,432,0.2,220857,524736,69170,False
Alangulam,R KOTHERIMOHIDEEN,Independent,195,4,199,0.09,220857,524736,69170,False
Alangulam,W JAYSON,Independent,196,0,196,0.09,220857,524736,69170,False
Alangulam,U ARAVIND,Independent,183,6,189,0.09,220857,524736,69170,False
Alangulam,A SUBASH CHANDRA BOSE,Thakkam Katchi,180,2,182,0.08,220857,2416,69170,False
Alangulam,T MARIKUMAR,Independent,151,10,161,0.07,220857,524736,69170,False
Alangulam,K ARUNKUMAR,Independent,111,21,132,0.06,220857,524736,69170,False
Ambasamudram,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,64632,957,65589,34.3,191195,10462146,65589,True
Ambasamudram,V.P.DURAI,Indian National Congress,54622,722,55344,28.95,191195,1661312,65589,False
Ambasamudram,S.RAJAGOPAL,Tamilaga Vettri Kazhagam,53087,524,53611,28.04,191195,17226030,65589,False
Ambasamudram,DR.V.SIVASANKARAN,Naam Tamilar Katchi,14669,237,14906,7.8,191195,1972520,65589,False
Ambasamudram,NOTA,None of the Above,1046,14,1060,0.55,191195,199800,65589,False
Ambasamudram,R.ESAIKANNAN,Bahujan Samaj Party,675,10,685,0.36,191195,53369,65589,False
